path	blob_sha	bytes	category	scope	content_available	editorial_review	pr12_change
.agents/plugins/marketplace.json	6a24b51a9f5b2ba65702951c8e237eb9cabc05a3	385	implementation-or-test-data	context: not an editorial deletion candidate	False	not-started	
.dockerignore	cdd39653f3a2d668b4a6d127e85446a0a398a443	2281	implementation-or-test-data	context: not an editorial deletion candidate	False	not-started	
.github/action-pins.json	e6942f00506bde0be5b2464777e31ee883e57a0c	9394	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/build-images.yaml	f2958181e2d49346285e9106aec53f6d098c5646	11151	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/build-ops-mcp.yaml	67c463f9044d1ddf9f3b28a2eed931c227985944	9504	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/dependency-updates.yaml	f82e61497d0719f3e0507e1c95079196421e7ed5	2266	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/docs-checks.yaml	d5988b30d1fbcb4e565cdf7c9853c9d8dc4090dc	4447	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/pipeline-reliability.yaml	7c1b6c8215b2f9afc4dda4cff6b62b1903def074	10476	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/promote-runtime.yaml	0be0e66db87050f6bb1b304f4fc1fcfbd9a25125	4123	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/publish-image-receipts.yaml	94956b553365a29cd8adbcada886d6b493433b06	1660	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/release-security.yaml	30d9a494a3032d0371cce0b3f60d944ef4e6df06	1966	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/remediation-native.yaml	5a2566d2a4d445424ab45bbd423c998b500385e9	4720	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/role-images.yaml	dd9fab8924da5ea6ba647476f768652ad303f2bd	2561	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.github/workflows/update-checks.yaml	a542eb2bcb71df84f4e0196c5c97b2b5ec00ff3c	2923	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	True	not-started	
.gitignore	93a2bcc36f15949b1e4bdd72a57fa6f0a3dfd9a0	855	implementation-or-test-data	context: not an editorial deletion candidate	False	not-started	
CODE_OF_CONDUCT.md	beb83f10b5af346140a410c054defee9cf112b38	722	component-or-root-documentation	in-scope	False	not-started	
CONTRIBUTING.md	10e89d05dded4a9246e11d45ffa5a774a4eff296	1458	component-or-root-documentation	in-scope	False	not-started	
LICENSE	846d8bc709d3e5056764b79436b9598a1b9534e3	1063	license	excluded: legal license text	False	not-started	
README.md	be8d263170695e7fdda77e9ff293324371b7c389	5515	component-or-root-documentation	in-scope	True	not-started	
SECURITY.md	37866d28b0dd099415ed41ab0c277abe480c7bb5	900	component-or-root-documentation	in-scope	False	not-started	
charts/gitops/Chart.yaml	decc663b479e936e6ca3f6a1192d90917e4e652b	113	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/gitops/files/application-health.lua	adb76518cb4891e7beedd0b65fc4a3031bddddd3	2155	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/gitops/templates/applications.yaml	41c0e7340faf54340d2fd9e3391bea80beb4835f	2000	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/gitops/values.yaml	27c40727ab9875b22c29527637d1d79a7e1ce95a	218	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/Chart.yaml	d9eb62493f4647fb4deb5a2d8b7f07cdbedf20e3	867	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/.semgrep.yml	63164e1b9f1af91c44e403b807ffe30b0b4b0f28	16586	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/.tflint.hcl	427121c3ef48e92d9272fad80112ada04c84d6d5	66	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/.yamllint.yml	cd44e39a575ac24b1ec82c53176e4d66c9b30aa3	212	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/eslint-type-evidence-config.mjs	bedbc95a3d928d59da2fc8794901da10535d93d9	3216	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/eslint-type-evidence-generated-config.mjs	8ef5639769420e8fc5b57bcc3409a56be79fbe41	1008	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/eslint-type-evidence-tests-config.mjs	61639cb451c033f9f562d54ac8054cea4a7cd52f	1533	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/eslint.config.mjs	c84c2b929276c0c40931a5604b5628aeb2c002eb	12543	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/jscpd-tests.json	ed3713d4a8bc6a07f3fccc2f7c443c6b8e39cd7b	320	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/jscpd.json	2e8a6fde54e41c6928a645de43fab109692ef73a	600	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/knip.json	b8869633db06fdf40f7ac48fa7c68c9ab7e9b255	19096	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/kubernetes-policy-pack-default.json	aff8afc4629a8726bc72db3c6325f6fde49b3799	1050	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/lint-baseline.json	f1aaaff9ed39a84e2d9bfc219f1c93b93f595b8a	679	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/lint-policy.json	67cdb1b3afb7c13a051a23a97b4e3691e50f254e	25145	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/swarm.config.json	3ff9b7452eb38061abefdb67865f16ceaa7cbf84	518	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/files/config/type-evidence-eslint-plugin.mjs	21ccebe8f518959350161d9848e644241cb05d7b	12419	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/NOTES.txt	e43dc61d2fd044d31779e69009521e16c5182aad	1382	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/_demo-ready-client.tpl	7d8eff34c46b6764ece2af6115755f700bbc1573	2187	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/_helpers.tpl	61410d9f99af20bf9b8301b576ac8db6a4373b12	3671	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/_registry-clients.tpl	7b3bc36ce4689f5c47d6872e57d0e20ad124d6a2	5585	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/_worker-trust-readiness.tpl	1022519adcd4008281d96545b9148004ee9e6ee0	6539	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/archviewer.yaml	e26d3b69e977aa29ace06caa4505a5cd107943a0	1798	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/buster-namespace-controller.yaml	e1d78565e3d8ca49bfa3141deeadbeab184c0800	12103	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/buster-namespace-fence.yaml	3a37766a057eaa2b1bafee3ec5d247851151eba5	2130	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/buster-namespace-lease-crd.yaml	1f043f95e28a4de59b3f6868209aa857dbe2009a	24873	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/buster-runtime-pvc.yaml	56e05785cb9088aee1e8172e69ffc6ddbb53646a	751	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
charts/kubeclaw/templates/configmap-gateway.yaml	cc30cbaf30a6dca0db986506f8bdf15203bb5e44	8810	implementation-or-tooling	context: sources and migration consumers, not editorial deletion candidates	False	not-started	
