id	kind	manifest	blueprint_inventory	plugin_inventory	catalogue_page	role_plugin_lists	role_extensions	stages	observers	adapters	testProviders	reportAdapters
kubeclaw.api-flow	pipeline	skills/buster/plugins/api-flow/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.axe	pipeline	skills/buster/plugins/axe/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.container-build	pipeline	skills/buster/plugins/container-build/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.coverage-budget	pipeline	skills/buster/plugins/coverage-budget/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.demo-auth-smoke	pipeline	skills/buster/plugins/demo-auth-smoke/plugin.json	False	True	True	buster	{}	0	0	0	1	0
kubeclaw.direct-command	pipeline	skills/buster/plugins/direct-command/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.http	pipeline	skills/buster/plugins/http/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.junit-report	pipeline	skills/buster/plugins/junit-report-adapter/plugin.json	True	True	True	buster	{}	0	0	0	0	1
kubeclaw.kubernetes-fixture	pipeline	skills/buster/plugins/kubernetes-fixture/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.lighthouse	pipeline	skills/buster/plugins/lighthouse/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.openapi	pipeline	skills/buster/plugins/openapi/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.playwright	pipeline	skills/buster/plugins/playwright/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.security-providers	pipeline	skills/buster/plugins/security-providers/plugin.json	True	True	True	buster	{}	0	0	0	5	0
kubeclaw.size-budget	pipeline	skills/buster/plugins/size-budget/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.tailscale-exposure	pipeline	skills/buster/plugins/tailscale-exposure/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.visual	pipeline	skills/buster/plugins/visual/plugin.json	True	True	True	buster	{}	0	0	0	1	0
kubeclaw.agent-observability	pipeline	skills/common/plugins/agent-observability/plugin.json	True	True	True	buster,nova,prism	{}	0	2	0	0	0
