I0910 00:50:38.168917      34 options.go:263] external host was not specified, using 127.0.0.1
I0910 00:50:38.170516      34 server.go:150] Version: v1.35.0
I0910 00:50:38.170533      34 server.go:152] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
W0910 00:50:38.339695      34 logging.go:55] [core] [Channel #1 SubChannel #4]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:41371", ServerName: "127.0.0.1:41371", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:41371: operation was canceled"
W0910 00:50:38.339701      34 logging.go:55] [core] [Channel #2 SubChannel #3]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:41371", ServerName: "127.0.0.1:41371", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:57450->127.0.0.1:41371: use of closed network connection
I0910 00:50:38.343651      34 shared_informer.go:370] "Waiting for caches to sync"
I0910 00:50:38.346946      34 plugins.go:157] Loaded 13 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,TaintNodesByCondition,Priority,DefaultTolerationSeconds,DefaultStorageClass,StorageObjectInUseProtection,RuntimeClass,DefaultIngressClass,PodTopologyLabels,MutatingAdmissionPolicy,MutatingAdmissionWebhook.
I0910 00:50:38.346962      34 plugins.go:160] Loaded 14 validating admission controller(s) successfully in the following order: LimitRanger,ServiceAccount,PodSecurity,Priority,PersistentVolumeClaimResize,RuntimeClass,CertificateApproval,CertificateSigning,ClusterTrustBundleAttest,CertificateSubjectRestriction,NodeDeclaredFeatureValidator,ValidatingAdmissionPolicy,ValidatingAdmissionWebhook,ResourceQuota.
I0910 00:50:38.347217      34 instance.go:240] Using reconciler: lease
W0910 00:50:38.347637      34 logging.go:55] [core] [Channel #10 SubChannel #11]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:41371", ServerName: "127.0.0.1:41371", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:41371: operation was canceled"
W0910 00:50:38.354958      34 logging.go:55] [core] [Channel #14 SubChannel #15]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:41371", ServerName: "127.0.0.1:41371", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:41371: operation was canceled"
E0910 00:50:38.357320      34 processstarttime.go:40] Could not get process start time, stat /proc/34: no such file or directory
W0910 00:50:38.358015      34 logging.go:55] [core] [Channel #24 SubChannel #25]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:41371", ServerName: "127.0.0.1:41371", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:41371: operation was canceled"
I0910 00:50:38.360285      34 handler.go:304] Adding GroupVersion apiextensions.k8s.io v1 to ResourceManager
W0910 00:50:38.360337      34 genericapiserver.go:787] Skipping API apiextensions.k8s.io/v1beta1 because it has no resources.
I0910 00:50:38.363119      34 cidrallocator.go:198] starting ServiceCIDR Allocator Controller
W0910 00:50:38.363427      34 logging.go:55] [core] [Channel #28 SubChannel #29]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:41371", ServerName: "127.0.0.1:41371", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:41371: operation was canceled"
W0910 00:50:38.364177      34 logging.go:55] [core] [Channel #32 SubChannel #33]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:41371", ServerName: "127.0.0.1:41371", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:41371: operation was canceled"
W0910 00:50:38.364632      34 logging.go:55] [core] [Channel #36 SubChannel #37]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:41371", ServerName: "127.0.0.1:41371", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:41371: operation was canceled"
