I0910 00:53:29.023421      36 options.go:263] external host was not specified, using 127.0.0.1
I0910 00:53:29.026232      36 server.go:150] Version: v1.35.0
I0910 00:53:29.026277      36 server.go:152] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
W0910 00:53:29.205890      36 logging.go:55] [core] [Channel #1 SubChannel #2]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.206290      36 logging.go:55] [core] [Channel #4 SubChannel #5]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
I0910 00:53:29.209981      36 shared_informer.go:370] "Waiting for caches to sync"
I0910 00:53:29.211653      36 plugins.go:157] Loaded 13 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,TaintNodesByCondition,Priority,DefaultTolerationSeconds,DefaultStorageClass,StorageObjectInUseProtection,RuntimeClass,DefaultIngressClass,PodTopologyLabels,MutatingAdmissionPolicy,MutatingAdmissionWebhook.
I0910 00:53:29.211692      36 plugins.go:160] Loaded 14 validating admission controller(s) successfully in the following order: LimitRanger,ServiceAccount,PodSecurity,Priority,PersistentVolumeClaimResize,RuntimeClass,CertificateApproval,CertificateSigning,ClusterTrustBundleAttest,CertificateSubjectRestriction,NodeDeclaredFeatureValidator,ValidatingAdmissionPolicy,ValidatingAdmissionWebhook,ResourceQuota.
I0910 00:53:29.211924      36 instance.go:240] Using reconciler: lease
W0910 00:53:29.212703      36 logging.go:55] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:47098->127.0.0.1:39081: use of closed network connection"
W0910 00:53:29.314330      36 logging.go:55] [core] [Channel #14 SubChannel #15]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
E0910 00:53:29.316406      36 processstarttime.go:40] Could not get process start time, stat /proc/36: no such file or directory
I0910 00:53:29.319462      36 handler.go:304] Adding GroupVersion apiextensions.k8s.io v1 to ResourceManager
W0910 00:53:29.319478      36 genericapiserver.go:787] Skipping API apiextensions.k8s.io/v1beta1 because it has no resources.
W0910 00:53:29.320347      36 logging.go:55] [core] [Channel #24 SubChannel #25]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
I0910 00:53:29.322131      36 cidrallocator.go:198] starting ServiceCIDR Allocator Controller
W0910 00:53:29.333693      36 logging.go:55] [core] [Channel #33 SubChannel #34]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:47208->127.0.0.1:39081: use of closed network connection"
W0910 00:53:29.334848      36 logging.go:55] [core] [Channel #38 SubChannel #39]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.340135      36 logging.go:55] [core] [Channel #47 SubChannel #48]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.341773      36 logging.go:55] [core] [Channel #51 SubChannel #52]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:47268->127.0.0.1:39081: use of closed network connection
W0910 00:53:29.343512      36 logging.go:55] [core] [Channel #56 SubChannel #57]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.344522      36 logging.go:55] [core] [Channel #60 SubChannel #61]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.349143      36 logging.go:55] [core] [Channel #64 SubChannel #65]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:47306->127.0.0.1:39081: use of closed network connection"
W0910 00:53:29.350518      36 logging.go:55] [core] [Channel #69 SubChannel #70]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:47328->127.0.0.1:39081: use of closed network connection"
W0910 00:53:29.353916      36 logging.go:55] [core] [Channel #74 SubChannel #75]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:47354->127.0.0.1:39081: use of closed network connection
W0910 00:53:29.355190      36 logging.go:55] [core] [Channel #79 SubChannel #80]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.356254      36 logging.go:55] [core] [Channel #83 SubChannel #84]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.358585      36 logging.go:55] [core] [Channel #87 SubChannel #88]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.359988      36 logging.go:55] [core] [Channel #91 SubChannel #92]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:47408->127.0.0.1:39081: use of closed network connection"
W0910 00:53:29.361244      36 logging.go:55] [core] [Channel #96 SubChannel #97]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:47440->127.0.0.1:39081: use of closed network connection"
W0910 00:53:29.362796      36 logging.go:55] [core] [Channel #101 SubChannel #102]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:47452->127.0.0.1:39081: use of closed network connection
I0910 00:53:29.379229      36 handler.go:304] Adding GroupVersion  v1 to ResourceManager
I0910 00:53:29.379533      36 apis.go:112] API group "internal.apiserver.k8s.io" is not enabled, skipping.
W0910 00:53:29.380837      36 logging.go:55] [core] [Channel #106 SubChannel #107]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.383027      36 logging.go:55] [core] [Channel #110 SubChannel #111]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.387253      36 logging.go:55] [core] [Channel #119 SubChannel #120]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:47510->127.0.0.1:39081: use of closed network connection"
W0910 00:53:29.388254      36 logging.go:55] [core] [Channel #124 SubChannel #125]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.389832      36 logging.go:55] [core] [Channel #128 SubChannel #129]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.390953      36 logging.go:55] [core] [Channel #132 SubChannel #133]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.393400      36 logging.go:55] [core] [Channel #136 SubChannel #137]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.394686      36 logging.go:55] [core] [Channel #140 SubChannel #141]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:47594->127.0.0.1:39081: use of closed network connection"
W0910 00:53:29.397128      36 logging.go:55] [core] [Channel #145 SubChannel #146]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.397491      36 logging.go:55] [core] [Channel #149 SubChannel #150]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.400636      36 logging.go:55] [core] [Channel #153 SubChannel #154]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.401778      36 logging.go:55] [core] [Channel #157 SubChannel #158]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.403426      36 logging.go:55] [core] [Channel #161 SubChannel #162]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.404647      36 logging.go:55] [core] [Channel #165 SubChannel #166]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
W0910 00:53:29.405375      36 logging.go:55] [core] [Channel #169 SubChannel #170]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39081", ServerName: "127.0.0.1:39081", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39081: operation was canceled"
