I0910 00:54:27.644679      61 options.go:263] external host was not specified, using 127.0.0.1
I0910 00:54:27.648004      61 server.go:150] Version: v1.35.0
I0910 00:54:27.648024      61 server.go:152] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
W0910 00:54:27.842196      61 logging.go:55] [core] [Channel #1 SubChannel #2]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:45385", ServerName: "127.0.0.1:45385", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:46342->127.0.0.1:45385: use of closed network connection"
W0910 00:54:27.842434      61 logging.go:55] [core] [Channel #6 SubChannel #7]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:45385", ServerName: "127.0.0.1:45385", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:45385: operation was canceled"
I0910 00:54:27.847866      61 shared_informer.go:370] "Waiting for caches to sync"
I0910 00:54:27.849883      61 plugins.go:157] Loaded 13 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,TaintNodesByCondition,Priority,DefaultTolerationSeconds,DefaultStorageClass,StorageObjectInUseProtection,RuntimeClass,DefaultIngressClass,PodTopologyLabels,MutatingAdmissionPolicy,MutatingAdmissionWebhook.
I0910 00:54:27.849900      61 plugins.go:160] Loaded 14 validating admission controller(s) successfully in the following order: LimitRanger,ServiceAccount,PodSecurity,Priority,PersistentVolumeClaimResize,RuntimeClass,CertificateApproval,CertificateSigning,ClusterTrustBundleAttest,CertificateSubjectRestriction,NodeDeclaredFeatureValidator,ValidatingAdmissionPolicy,ValidatingAdmissionWebhook,ResourceQuota.
I0910 00:54:27.850297      61 instance.go:240] Using reconciler: lease
W0910 00:54:27.850928      61 logging.go:55] [core] [Channel #10 SubChannel #11]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:45385", ServerName: "127.0.0.1:45385", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:45385: operation was canceled"
W0910 00:54:28.033344      61 logging.go:55] [core] [Channel #14 SubChannel #15]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:45385", ServerName: "127.0.0.1:45385", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:45385: operation was canceled"
E0910 00:54:28.035018      61 processstarttime.go:40] Could not get process start time, stat /proc/61: no such file or directory
W0910 00:54:28.035994      61 logging.go:55] [core] [Channel #24 SubChannel #25]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:45385", ServerName: "127.0.0.1:45385", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:46424->127.0.0.1:45385: use of closed network connection"
I0910 00:54:28.039979      61 handler.go:304] Adding GroupVersion apiextensions.k8s.io v1 to ResourceManager
