I0910 00:48:18.321861      33 options.go:263] external host was not specified, using 127.0.0.1
I0910 00:48:18.323763      33 server.go:150] Version: v1.35.0
I0910 00:48:18.323783      33 server.go:152] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
W0910 00:48:18.478676      33 logging.go:55] [core] [Channel #2 SubChannel #3]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39575", ServerName: "127.0.0.1:39575", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39575: operation was canceled"
W0910 00:48:18.478749      33 logging.go:55] [core] [Channel #1 SubChannel #4]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39575", ServerName: "127.0.0.1:39575", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:59222->127.0.0.1:39575: use of closed network connection"
I0910 00:48:18.484000      33 shared_informer.go:370] "Waiting for caches to sync"
I0910 00:48:18.486728      33 plugins.go:157] Loaded 13 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,TaintNodesByCondition,Priority,DefaultTolerationSeconds,DefaultStorageClass,StorageObjectInUseProtection,RuntimeClass,DefaultIngressClass,PodTopologyLabels,MutatingAdmissionPolicy,MutatingAdmissionWebhook.
I0910 00:48:18.486742      33 plugins.go:160] Loaded 14 validating admission controller(s) successfully in the following order: LimitRanger,ServiceAccount,PodSecurity,Priority,PersistentVolumeClaimResize,RuntimeClass,CertificateApproval,CertificateSigning,ClusterTrustBundleAttest,CertificateSubjectRestriction,NodeDeclaredFeatureValidator,ValidatingAdmissionPolicy,ValidatingAdmissionWebhook,ResourceQuota.
I0910 00:48:18.487019      33 instance.go:240] Using reconciler: lease
W0910 00:48:18.487519      33 logging.go:55] [core] [Channel #10 SubChannel #11]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39575", ServerName: "127.0.0.1:39575", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39575: operation was canceled"
W0910 00:48:18.802576      33 logging.go:55] [core] [Channel #14 SubChannel #15]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39575", ServerName: "127.0.0.1:39575", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:59280->127.0.0.1:39575: use of closed network connection"
E0910 00:48:18.807340      33 processstarttime.go:40] Could not get process start time, stat /proc/33: no such file or directory
W0910 00:48:18.813257      33 logging.go:55] [core] [Channel #25 SubChannel #26]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39575", ServerName: "127.0.0.1:39575", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:59324->127.0.0.1:39575: use of closed network connection"
I0910 00:48:18.820810      33 handler.go:304] Adding GroupVersion apiextensions.k8s.io v1 to ResourceManager
W0910 00:48:18.820844      33 genericapiserver.go:787] Skipping API apiextensions.k8s.io/v1beta1 because it has no resources.
I0910 00:48:18.825867      33 cidrallocator.go:198] starting ServiceCIDR Allocator Controller
W0910 00:48:18.826337      33 logging.go:55] [core] [Channel #30 SubChannel #31]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39575", ServerName: "127.0.0.1:39575", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39575: operation was canceled"
W0910 00:48:18.828292      33 logging.go:55] [core] [Channel #34 SubChannel #35]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39575", ServerName: "127.0.0.1:39575", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:59372->127.0.0.1:39575: use of closed network connection
W0910 00:48:18.828760      33 logging.go:55] [core] [Channel #39 SubChannel #40]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39575", ServerName: "127.0.0.1:39575", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39575: operation was canceled"
W0910 00:48:18.830438      33 logging.go:55] [core] [Channel #43 SubChannel #44]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39575", ServerName: "127.0.0.1:39575", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:59414->127.0.0.1:39575: use of closed network connection"
W0910 00:48:18.833142      33 logging.go:55] [core] [Channel #48 SubChannel #49]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39575", ServerName: "127.0.0.1:39575", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:59420->127.0.0.1:39575: use of closed network connection"
