I0910 01:25:04.907849      38 options.go:263] external host was not specified, using 127.0.0.1
I0910 01:25:04.910312      38 server.go:150] Version: v1.35.0
I0910 01:25:04.910330      38 server.go:152] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
W0910 01:25:05.024735      38 logging.go:55] [core] [Channel #1 SubChannel #3]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.025257      38 logging.go:55] [core] [Channel #2 SubChannel #5]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
I0910 01:25:05.033851      38 shared_informer.go:370] "Waiting for caches to sync"
I0910 01:25:05.036162      38 plugins.go:157] Loaded 13 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,TaintNodesByCondition,Priority,DefaultTolerationSeconds,DefaultStorageClass,StorageObjectInUseProtection,RuntimeClass,DefaultIngressClass,PodTopologyLabels,MutatingAdmissionPolicy,MutatingAdmissionWebhook.
I0910 01:25:05.036183      38 plugins.go:160] Loaded 14 validating admission controller(s) successfully in the following order: LimitRanger,ServiceAccount,PodSecurity,Priority,PersistentVolumeClaimResize,RuntimeClass,CertificateApproval,CertificateSigning,ClusterTrustBundleAttest,CertificateSubjectRestriction,NodeDeclaredFeatureValidator,ValidatingAdmissionPolicy,ValidatingAdmissionWebhook,ResourceQuota.
I0910 01:25:05.036537      38 instance.go:240] Using reconciler: lease
W0910 01:25:05.036969      38 logging.go:55] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.037860      38 logging.go:55] [core] [Channel #13 SubChannel #14]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
E0910 01:25:05.039926      38 processstarttime.go:40] Could not get process start time, stat /proc/38: no such file or directory
W0910 01:25:05.040672      38 logging.go:55] [core] [Channel #23 SubChannel #24]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
I0910 01:25:05.044508      38 handler.go:304] Adding GroupVersion apiextensions.k8s.io v1 to ResourceManager
W0910 01:25:05.044523      38 genericapiserver.go:787] Skipping API apiextensions.k8s.io/v1beta1 because it has no resources.
I0910 01:25:05.047269      38 cidrallocator.go:198] starting ServiceCIDR Allocator Controller
W0910 01:25:05.047560      38 logging.go:55] [core] [Channel #27 SubChannel #28]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.048791      38 logging.go:55] [core] [Channel #31 SubChannel #32]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:45814->127.0.0.1:44527: use of closed network connection
W0910 01:25:05.049572      38 logging.go:55] [core] [Channel #36 SubChannel #37]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.050602      38 logging.go:55] [core] [Channel #40 SubChannel #41]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:45844->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.052713      38 logging.go:55] [core] [Channel #45 SubChannel #46]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:45876->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.054813      38 logging.go:55] [core] [Channel #50 SubChannel #51]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:45884->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.055719      38 logging.go:55] [core] [Channel #55 SubChannel #56]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.056373      38 logging.go:55] [core] [Channel #59 SubChannel #60]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.057347      38 logging.go:55] [core] [Channel #63 SubChannel #64]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:45954->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.058693      38 logging.go:55] [core] [Channel #68 SubChannel #69]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:45984->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.062691      38 logging.go:55] [core] [Channel #73 SubChannel #74]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.063626      38 logging.go:55] [core] [Channel #77 SubChannel #78]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.065062      38 logging.go:55] [core] [Channel #81 SubChannel #82]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.066427      38 logging.go:55] [core] [Channel #85 SubChannel #86]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.067127      38 logging.go:55] [core] [Channel #89 SubChannel #90]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.068369      38 logging.go:55] [core] [Channel #93 SubChannel #94]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:46086->127.0.0.1:44527: use of closed network connection
W0910 01:25:05.068883      38 logging.go:55] [core] [Channel #98 SubChannel #99]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
I0910 01:25:05.090890      38 handler.go:304] Adding GroupVersion  v1 to ResourceManager
I0910 01:25:05.091405      38 apis.go:112] API group "internal.apiserver.k8s.io" is not enabled, skipping.
W0910 01:25:05.092979      38 logging.go:55] [core] [Channel #102 SubChannel #103]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:46114->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.096024      38 logging.go:55] [core] [Channel #107 SubChannel #108]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.097657      38 logging.go:55] [core] [Channel #111 SubChannel #112]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.099420      38 logging.go:55] [core] [Channel #115 SubChannel #116]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.100382      38 logging.go:55] [core] [Channel #119 SubChannel #120]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:46174->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.101154      38 logging.go:55] [core] [Channel #124 SubChannel #125]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:46202->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.102338      38 logging.go:55] [core] [Channel #129 SubChannel #130]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.102987      38 logging.go:55] [core] [Channel #133 SubChannel #134]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:46240->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.104492      38 logging.go:55] [core] [Channel #138 SubChannel #139]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:46248->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.107505      38 logging.go:55] [core] [Channel #148 SubChannel #149]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.108393      38 logging.go:55] [core] [Channel #152 SubChannel #153]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.111063      38 logging.go:55] [core] [Channel #156 SubChannel #157]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:46320->127.0.0.1:44527: use of closed network connection
W0910 01:25:05.112125      38 logging.go:55] [core] [Channel #161 SubChannel #162]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:46342->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.113557      38 logging.go:55] [core] [Channel #166 SubChannel #167]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.114491      38 logging.go:55] [core] [Channel #170 SubChannel #171]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.115735      38 logging.go:55] [core] [Channel #174 SubChannel #175]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:46394->127.0.0.1:44527: use of closed network connection"
W0910 01:25:05.119188      38 logging.go:55] [core] [Channel #179 SubChannel #180]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.119776      38 logging.go:55] [core] [Channel #183 SubChannel #184]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
W0910 01:25:05.120733      38 logging.go:55] [core] [Channel #187 SubChannel #188]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:44527", ServerName: "127.0.0.1:44527", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:44527: operation was canceled"
