path	import_or_export_origin	call_lines
skills/buster/engine/test-gates/exposure-generation.ts	@kubeclaw/plugin-sdk	10
skills/buster/engine/test-gates/exposure-handoff.ts	@kubeclaw/plugin-sdk	19,29
skills/buster/engine/test-gates/generated-demo-credentials.ts	@kubeclaw/plugin-sdk	52,54
skills/buster/engine/test-gates/kubernetes-runtime-security.ts	local declaration / inspect source	33,47
skills/buster/engine/test-gates/remote-plan-compaction.ts	@kubeclaw/pipeline-observability-contract	54
skills/buster/engine/test-gates/remote-plan-service.ts	@kubeclaw/pipeline-observability-contract	227,302,304,309
skills/common/plugin-runtime/foundation/observability/attempt-replay.ts	@kubeclaw/pipeline-observability-contract	9,27,46,51,76,84,86
skills/common/plugin-runtime/foundation/observability/durable-attempts.ts	@kubeclaw/pipeline-observability-contract	235,395,431,511,597,744
skills/common/plugin-runtime/foundation/observability/durable-delivery.ts	@kubeclaw/pipeline-observability-contract	171,358,383,401,502,536,538,615,724,752
skills/common/plugin-runtime/foundation/observability/durable-records.ts	@kubeclaw/pipeline-observability-contract	66,120,122,146,171,173,195
skills/common/plugin-runtime/foundation/observability/replay-validation.ts	@kubeclaw/pipeline-observability-contract	47,57,60,78
skills/common/plugin-runtime/sdk/src/review-subject.ts	./values.ts	40,65,66
skills/common/plugin-runtime/sdk/src/runtime-workspace.ts	./values.ts	16,32
skills/common/plugin-runtime/sdk/src/source-approval.ts	./values.ts	12,39,53,59
skills/common/plugin-runtime/sdk/src/source-preflight.ts	./values.ts	35
skills/common/plugin-runtime/sdk/src/source-revision.ts	./values.ts	20
skills/common/plugin-runtime/sdk/src/values.ts	local declaration / inspect source	45
skills/common/plugins/artifact-store/src/adapter.ts	@kubeclaw/plugin-sdk	108
skills/common/plugins/git-workspace/src/review-source.ts	@kubeclaw/plugin-sdk	19
skills/common/plugins/git-workspace/src/workspace-ownership.ts	@kubeclaw/plugin-sdk	14,31
skills/common/plugins/redis-transport/src/stream-identity.ts	@kubeclaw/plugin-sdk	6
skills/common/plugins/runtime-dispatch/src/openclaw.ts	@kubeclaw/plugin-sdk	246,274
skills/common/plugins/runtime-dispatch/src/workspace-target.ts	@kubeclaw/plugin-sdk	27
skills/common/plugins/state-store/src/adapter.ts	@kubeclaw/plugin-sdk	66
skills/common/plugins/wait-store/src/adapter.ts	@kubeclaw/plugin-sdk	218
skills/nova/core/effects/identity.ts	@kubeclaw/plugin-sdk	<no direct call>
skills/nova/core/execution/artifact-checkpoints.ts	@kubeclaw/plugin-sdk	33
skills/nova/core/execution/engine-admin.ts	./engine-snapshots.ts	59
skills/nova/core/execution/engine-run.ts	./engine-snapshots.ts	107
skills/nova/core/execution/engine-snapshots.ts	local declaration / inspect source	14,16,33,35,54,61,76
skills/nova/core/lifecycle/repair-authorization.ts	@kubeclaw/plugin-sdk	24
skills/nova/core/lifecycle/repair-budget.ts	@kubeclaw/plugin-sdk	38,77
skills/nova/core/lifecycle/wait-request.ts	@kubeclaw/plugin-sdk	11
skills/nova/core/state/plugins.ts	@kubeclaw/plugin-sdk	57,70,99
skills/nova/core/state/read-run-evidence.ts	@kubeclaw/plugin-sdk	89,102,105,113,121,187,188
skills/nova/core/telemetry/audit.ts	@kubeclaw/plugin-sdk	27
skills/nova/plugins/case-study/src/protocol.ts	@kubeclaw/plugin-sdk	17,18,19
skills/nova/plugins/case-study/src/stage.ts	@kubeclaw/plugin-sdk	13,24,27
skills/nova/plugins/demo-handoff/src/adapter.ts	@kubeclaw/plugin-sdk	54
